"bvs_job_id","SECONDS","job_option_id","request_entered_timestamp","requester_uuid","start_date","end_date","QUERY_RANGE_HOURS","caid","requester_firm_id","requester_account_id","hits"
"Results for query:","select J.bvs_job_id, T.SECONDS, O.job_option_id,
J.request_entered_timestamp, J.requester_uuid, J.start_date, J.end_date, 
TIMESTAMPDIFF(HOUR, J.start_date, J.end_date) as
QUERY_RANGE_HOURS,
J.caid, J.requester_firm_id, J.requester_account_id, J.hits
from bvs_client_jobs J, bvs_client_jobs_options 
O,
(

select bvs_job_id, TIMESTAMPDIFF(SECOND, min(timestamp), max(timestamp)) as 
SECONDS
from bvsm_job_state_history
where new_state in ('processing', 'secomplete') and
bvs_job_id in
(
select bvs_job_id from
(
select HH.bvs_job_id as bvs_job_id, HH.new_state as new_state, count(*) as 
Total from
bvsm_job_state_history HH, bvs_client_jobs_options OO
WHERE HH.bvs_job_id = OO.bvs_job_id
and HH.new_state in ('processing', 'secomplete')
and OO.job_option_id IN (4,7,33,34,5,6,7,8,12,18,23,28,36,43,48,51)
group by HH.bvs_job_id, HH.new_state having count(*) = 1
) JobIDWithUniqueStates
group by bvs_job_id having count(*) = 2
)
group by bvs_job_id

) T

WHERE J.bvs_job_id = O.bvs_job_id and
O.job_option_id IN (4,7,33,34,5,6,7,8,12,18,23,28,36,43,48,51) and T.bvs_job_id 
= J.bvs_job_id"
"V2XX58617AD47F0DBF000067","181","4","2021-10-28 16:49:01","12128033","2013-12-27 05:00:00","2014-01-01 04:59:59","119","-1","9001","6609","8411"
"V2XX58617AD48B2664000074","1991","4","2021-10-28 16:49:15","12128033","2012-01-01 05:00:00","2012-01-31 04:59:59","719","-1","9001","6609","137308"
"V2XX58617AD48B2664000075","4367","4","2021-10-28 16:49:15","12128033","2012-01-31 05:00:00","2012-03-01 04:59:59","719","-1","9001","6609","164731"
"V2XX58617AD48B2664000076","6216","4","2021-10-28 16:49:15","12128033","2012-03-01 05:00:00","2012-03-31 04:59:59","719","-1","9001","6609","152850"
"V2XX58617AD48B2664000077","6298","4","2021-10-28 16:49:15","12128033","2012-03-31 05:00:00","2012-04-30 04:59:59","719","-1","9001","6609","136322"
"V2XX58617AD48B2664000078","9601","4","2021-10-28 16:49:15","12128033","2012-04-30 05:00:00","2012-05-30 04:59:59","719","-1","9001","6609","157440"
"V2XX58617AD48B2664000079","11422","4","2021-10-28 16:49:15","12128033","2012-05-30 05:00:00","2012-06-29 04:59:59","719","-1","9001","6609","158756"
"V2XX58617AD48B266400007A","13083","4","2021-10-28 16:49:15","12128033","2012-06-29 05:00:00","2012-07-29 04:59:59","719","-1","9001","6609","134214"
"V2XX58617AD48B266400007B","13062","4","2021-10-28 16:49:15","12128033","2012-07-29 05:00:00","2012-08-28 04:59:59","719","-1","9001","6609","147245"
"V2XX58617AD48C266400007C","11863","4","2021-10-28 16:49:15","12128033","2012-08-28 05:00:00","2012-09-27 04:59:59","719","-1","9001","6609","174933"
"V2XX58617AD48C266400007D","6174","4","2021-10-28 16:49:15","12128033","2012-09-27 05:00:00","2012-10-27 04:59:59","719","-1","9001","6609","178941"
"V2XX58617AD48C266400007E","10678","4","2021-10-28 16:49:15","12128033","2012-10-27 05:00:00","2012-11-26 04:59:59","719","-1","9001","6609","132598"
"V2XX58617AD48C266400007F","10300","4","2021-10-28 16:49:15","12128033","2012-11-26 05:00:00","2012-12-26 04:59:59","719","-1","9001","6609","143956"
"V2XX58617AD48C2664000080","162","4","2021-10-28 16:49:15","12128033","2012-12-26 05:00:00","2013-01-01 04:59:59","143","-1","9001","6609","8278"
"V2XX58617AD499385A00005C","5798","4","2021-10-28 16:49:29","12128033","2011-04-01 05:00:00","2011-05-01 04:59:59","719","-1","9001","6609","63695"
"V2XX58617AD499385A00005D","6070","4","2021-10-28 16:49:29","12128033","2011-05-01 05:00:00","2011-05-31 04:59:59","719","-1","9001","6609","68309"
"V2XX58617AD499385A00005E","4215","4","2021-10-28 16:49:29","12128033","2011-05-31 05:00:00","2011-06-30 04:59:59","719","-1","9001","6609","112955"
"V2XX58617AD499385A00005F","12688","4","2021-10-28 16:49:29","12128033","2011-06-30 05:00:00","2011-07-30 04:59:59","719","-1","9001","6609","115843"
"V2XX58617AD499385A000060","8656","4","2021-10-28 16:49:29","12128033","2011-07-30 05:00:00","2011-08-29 04:59:59","719","-1","9001","6609","102283"
"V2XX58617AD499385A000061","12021","4","2021-10-28 16:49:29","12128033","2011-08-29 05:00:00","2011-09-28 04:59:59","719","-1","9001","6609","116683"
"V2XX58617AD499385A000062","9204","4","2021-10-28 16:49:29","12128033","2011-09-28 05:00:00","2011-10-28 04:59:59","719","-1","9001","6609","124523"
"V2XX58617AD499385A000063","12205","4","2021-10-28 16:49:29","12128033","2011-10-28 05:00:00","2011-11-27 04:59:59","719","-1","9001","6609","109103"
"V2XX58617AD49A385A000064","5668","4","2021-10-28 16:49:29","12128033","2011-11-27 05:00:00","2011-12-27 04:59:59","719","-1","9001","6609","92027"
"V2XX58617AD49A385A000065","3698","4","2021-10-28 16:49:29","12128033","2011-12-27 05:00:00","2012-01-01 04:59:59","119","-1","9001","6609","6819"
"V2XX58617AD49A384F000048","12703","7","2021-10-28 16:49:29","12128033","2011-01-01 05:00:00","2011-07-08 04:59:59","4511","-1","9001","6609","66201"
"V2XX58617AD49A384F000049","11146","7","2021-10-28 16:49:29","12128033","2011-07-08 05:00:00","2012-01-01 04:59:59","4247","-1","9001","6609","63850"
"V2XX58617AD4A8186E0000C5","38","4","2021-10-28 16:49:44","12128033","2010-01-01 05:00:00","2010-01-31 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000C6","33","4","2021-10-28 16:49:44","12128033","2010-01-31 05:00:00","2010-03-02 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000C7","1819","4","2021-10-28 16:49:44","12128033","2010-03-02 05:00:00","2010-04-01 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000C8","21","4","2021-10-28 16:49:44","12128033","2010-04-01 05:00:00","2010-05-01 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000C9","591","4","2021-10-28 16:49:44","12128033","2010-05-01 05:00:00","2010-05-31 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000CA","83","4","2021-10-28 16:49:44","12128033","2010-05-31 05:00:00","2010-06-30 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000CB","1727","4","2021-10-28 16:49:44","12128033","2010-06-30 05:00:00","2010-07-30 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000CC","1255","4","2021-10-28 16:49:44","12128033","2010-07-30 05:00:00","2010-08-29 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000CD","1217","4","2021-10-28 16:49:44","12128033","2010-08-29 05:00:00","2010-09-28 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000CE","662","4","2021-10-28 16:49:44","12128033","2010-09-28 05:00:00","2010-10-28 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000CF","499","4","2021-10-28 16:49:44","12128033","2010-10-28 05:00:00","2010-11-27 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000D0","536","4","2021-10-28 16:49:44","12128033","2010-11-27 05:00:00","2010-12-27 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4A8186E0000D1","199","4","2021-10-28 16:49:44","12128033","2010-12-27 05:00:00","2011-01-01 04:59:59","119","-1","9001","6609","0"
"V2XX58617AD4A8385600007D","45","4","2021-10-28 16:49:44","12128033","2011-01-01 04:59:59","2011-01-01 04:59:59","0","-1","9001","6609","0"
"V2XX58617AD4A9385E000063","3212","7","2021-10-28 16:49:44","12128033","2010-01-01 05:00:00","2010-07-08 04:59:59","4511","-1","9001","6609","0"
"V2XX58617AD4A9385E000064","2800","7","2021-10-28 16:49:44","12128033","2010-07-08 05:00:00","2011-01-01 04:59:59","4247","-1","9001","6609","0"
"V2XX58617AD4A9385A000067","59","7","2021-10-28 16:49:44","12128033","2011-01-01 04:59:59","2011-01-01 04:59:59","0","-1","9001","6609","0"
"V2XX58617AD4B80DBC00004D","619","4","2021-10-28 16:50:00","12128033","2009-01-01 05:00:00","2009-01-31 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC00004E","719","4","2021-10-28 16:50:00","12128033","2009-01-31 05:00:00","2009-03-02 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC00004F","696","4","2021-10-28 16:50:00","12128033","2009-03-02 05:00:00","2009-04-01 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000050","603","4","2021-10-28 16:50:00","12128033","2009-04-01 05:00:00","2009-05-01 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000051","740","4","2021-10-28 16:50:00","12128033","2009-05-01 05:00:00","2009-05-31 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000052","1808","4","2021-10-28 16:50:00","12128033","2009-05-31 05:00:00","2009-06-30 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000053","598","4","2021-10-28 16:50:00","12128033","2009-06-30 05:00:00","2009-07-30 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000054","1210","4","2021-10-28 16:50:00","12128033","2009-07-30 05:00:00","2009-08-29 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000055","610","4","2021-10-28 16:50:00","12128033","2009-08-29 05:00:00","2009-09-28 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000056","610","4","2021-10-28 16:50:00","12128033","2009-09-28 05:00:00","2009-10-28 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000057","46","4","2021-10-28 16:50:00","12128033","2009-10-28 05:00:00","2009-11-27 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000058","634","4","2021-10-28 16:50:00","12128033","2009-11-27 05:00:00","2009-12-27 04:59:59","719","-1","9001","6609","0"
"V2XX58617AD4B80DBC000059","19","4","2021-10-28 16:50:00","12128033","2009-12-27 05:00:00","2010-01-01 04:59:59","119","-1","9001","6609","0"
"V2XX58617AD4B83857000071","3536","7","2021-10-28 16:50:00","12128033","2009-01-01 05:00:00","2009-07-08 04:59:59","4511","-1","9001","6609","0"
"V2XX58617AD4B93857000072","1825","7","2021-10-28 16:50:00","12128033","2009-07-08 05:00:00","2010-01-01 04:59:59","4247","-1","9001","6609","0"
"V2XX58617AE689385A00006B","540","4","2021-10-28 18:06:00","12128033","2008-01-01 05:00:00","2008-01-31 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE689385A00006C","33","4","2021-10-28 18:06:00","12128033","2008-01-31 05:00:00","2008-03-01 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE689385A00006D","679","4","2021-10-28 18:06:00","12128033","2008-03-01 05:00:00","2008-03-31 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE689385A00006E","597","4","2021-10-28 18:06:00","12128033","2008-03-31 05:00:00","2008-04-30 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE689385A00006F","588","4","2021-10-28 18:06:00","12128033","2008-04-30 05:00:00","2008-05-30 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE689385A000070","214","4","2021-10-28 18:06:00","12128033","2008-05-30 05:00:00","2008-06-29 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE689385A000071","216","4","2021-10-28 18:06:00","12128033","2008-06-29 05:00:00","2008-07-29 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE689385A000072","24","4","2021-10-28 18:06:00","12128033","2008-07-29 05:00:00","2008-08-28 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE689385A000073","126","4","2021-10-28 18:06:00","12128033","2008-08-28 05:00:00","2008-09-27 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE689385A000074","616","4","2021-10-28 18:06:00","12128033","2008-09-27 05:00:00","2008-10-27 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE68A385A000075","1201","4","2021-10-28 18:06:00","12128033","2008-10-27 05:00:00","2008-11-26 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE68A385A000076","568","4","2021-10-28 18:06:00","12128033","2008-11-26 05:00:00","2008-12-26 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE68A385A000077","564","4","2021-10-28 18:06:00","12128033","2008-12-26 05:00:00","2009-01-01 04:59:59","143","-1","9001","6609","0"
"V2XX58617AE68A2669000047","1987","7","2021-10-28 18:06:00","12128033","2008-01-01 05:00:00","2008-07-07 04:59:59","4511","-1","9001","6609","0"
"V2XX58617AE68A2669000048","2402","7","2021-10-28 18:06:00","12128033","2008-07-07 05:00:00","2009-01-01 04:59:59","4271","-1","9001","6609","0"
"V2XX58617AE69926E1000078","695","4","2021-10-28 18:06:17","12128033","2007-01-01 05:00:00","2007-01-31 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE69926E1000079","2407","4","2021-10-28 18:06:17","12128033","2007-01-31 05:00:00","2007-03-02 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE69926E100007A","79","4","2021-10-28 18:06:17","12128033","2007-03-02 05:00:00","2007-04-01 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE69926E100007B","1255","4","2021-10-28 18:06:17","12128033","2007-04-01 05:00:00","2007-05-01 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE69A26E100007C","1823","4","2021-10-28 18:06:17","12128033","2007-05-01 05:00:00","2007-05-31 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE69A26E100007D","56","4","2021-10-28 18:06:17","12128033","2007-05-31 05:00:00","2007-06-30 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE69A26E100007E","49","4","2021-10-28 18:06:17","12128033","2007-06-30 05:00:00","2007-07-30 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE69A26E100007F","72","4","2021-10-28 18:06:17","12128033","2007-07-30 05:00:00","2007-08-29 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE69A26E1000080","1243","4","2021-10-28 18:06:17","12128033","2007-08-29 05:00:00","2007-09-28 04:59:59","719","-1","9001","6609","0"
"V2XX58617AE69A26E1000081","1050","4","2021-10-28 18:06:17","12128033","2007-09-28 05:00:00","2007-10-28 04:59:59","719","-1","9001","6609","0"
